Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
55	Spectrogram 1	1	1227.123106160	1227.298985496	483.6	2659.9	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	27.1231
56	Spectrogram 1	1	1228.190944985	1228.391949941	0.0	1714.6	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	28.1909
57	Spectrogram 1	1	1229.434663146	1229.560291244	219.8	857.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	29.4347
58	Spectrogram 1	1	1229.610542482	1229.761296199	263.8	791.4	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	29.6105
59	Spectrogram 1	1	1229.811547438	1229.924612725	285.8	923.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	29.8115
60	Spectrogram 1	1	1223.153258292	1223.253760770	175.9	2132.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	23.1532
61	Spectrogram 1	1	1223.278886389	1223.429640106	263.8	2110.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	23.2789
62	Spectrogram 1	1	1223.605519442	1223.718584729	373.7	857.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	23.6055
63	Spectrogram 1	1	1223.756273158	1223.894464065	351.7	901.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	23.7563
64	Spectrogram 1	1	1221.683409556	1221.846726083	263.8	1077.1	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	21.6834
