Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)
64	Spectrogram 1	1	3601.545225594	3601.896984266	373.704	1648.695	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	1.5452	820.312	398.438	1546.875	1148.438
65	Spectrogram 1	1	3603.856782580	3604.246229681	175.861	1253.008	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	3.8568	492.188	187.500	1148.438	960.938
66	Spectrogram 1	1	3605.251254458	3605.954771802	1934.468	3912.902	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	5.2512	2906.250	2015.625	3796.875	1781.250
67	Spectrogram 1	1	3609.660800666	3610.339192390	1802.573	3912.902	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	9.6608	2835.938	1875.000	3796.875	1921.875
68	Spectrogram 1	1	3612.236176656	3612.939694000	87.930	1165.077	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	12.2362	445.312	93.750	1054.688	960.938
69	Spectrogram 1	1	3608.693464318	3609.045222990	219.826	1384.903	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	8.6935	585.938	257.812	1289.062	1031.250
70	Spectrogram 1	1	3615.929642710	3616.771350961	1956.451	3737.041	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	15.9296	2859.375	2039.062	3632.812	1593.750
71	Spectrogram 1	1	3613.165824574	3613.844216299	1978.433	3627.128	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	13.1658	2835.938	2039.062	3539.062	1500.000
72	Spectrogram 1	1	3634.497475459	3635.590439904	1868.521	3934.884	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	34.4975	2906.250	1945.312	3796.875	1851.562
73	Spectrogram 1	1	3629.057778855	3630.138180490	2066.364	3802.989	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	29.0578	2976.562	2179.688	3703.125	1523.438
74	Spectrogram 1	1	3630.515064781	3630.992451550	3077.563	3846.954	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	30.5151	3492.188	3117.188	3820.312	703.125
75	Spectrogram 1	1	3633.492450682	3634.032651500	1956.451	3407.302	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	33.4925	2742.188	2039.062	3328.125	1289.062
