Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)	Source	Shape	Pulses
56	Spectrogram 1	1	1202.248700000	1202.663273000	285.774	1692.660	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	2.2487	726.562	351.562	1546.875	1195.312	fish		2
57	Spectrogram 1	1	1200.263800000	1200.590433000	329.739	1560.764	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	0.2638	750.000	375.000	1453.125	1078.125	fish		2
58	Spectrogram 1	1	1210.778900000	1211.143221000	351.722	1868.521	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	10.7789	820.312	421.875	1781.250	1359.375	fish		2
59	Spectrogram 1	1	1214.987400000	1215.452224000	351.722	1670.677	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	14.9874	773.438	398.438	1546.875	1148.438	fish		2
60	Spectrogram 1	1	1218.329100000	1218.856738000	1450.851	2110.329	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	18.3291	1781.250	1476.562	2085.938	609.375	fish		3
61	Spectrogram 1	1	1209.070400000	1209.572912000	219.826	2242.225	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	9.0704	796.875	281.250	2039.062	1757.812	fish		3
62	Spectrogram 1	1	1203.655800000	1205.590472000	747.408	1780.590	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	3.6558	1195.312	773.438	1710.938	937.500	fish		many
63	Spectrogram 1	1	1801.821600000	1802.286424000	1912.486	3605.145	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	1.8216	2789.062	1968.750	3539.062	1570.312	bird		1
64	Spectrogram 1	1	1801.545200000	1801.896958000	373.704	1648.695	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	1.5452	820.312	398.438	1546.875	1148.438	fish		2
65	Spectrogram 1	1	1803.856800000	1804.246247000	175.861	1253.008	S1130_048K_LVR_10458035_20250526_163000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_163000.flac	3.8568	492.188	187.500	1148.438	960.938	fish		2
